; CSV, generated by libsigrok4DSL 0.2.0 on Fri Sep 18 22:17:24 2026
; Channels (12/16)
; Sample rate: 20 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0.0001157,1,0,1,1,1,1,1,0,1,1,1,0
0.0001159,1,0,1,1,1,1,1,0,1,1,1,1
0.00011595,1,1,1,1,1,1,1,0,0,1,1,1
0.000116,0,1,0,1,0,1,1,0,0,1,1,1
0.0001192,0,1,0,1,0,1,1,0,0,0,0,0
0.00011945,0,1,0,1,0,1,1,0,0,0,0,1
0.00012275,0,1,0,1,0,1,1,0,0,0,0,0
0.000123,0,1,0,1,0,1,1,0,0,0,0,1
0.00012305,1,1,1,1,0,1,1,0,1,1,1,1
0.0001231,1,0,1,0,0,1,1,0,1,1,1,1
0.0001263,1,0,1,0,0,1,1,0,1,0,1,0
0.00012655,1,0,1,0,0,1,1,0,1,0,1,1
0.0001298,1,0,1,0,0,1,1,0,1,0,1,0
0.00012985,1,0,1,0,0,1,1,0,1,1,1,0
0.00013005,1,0,1,0,0,1,1,0,1,1,1,1
0.0001301,1,1,1,1,0,1,1,0,1,1,1,1
0.00013015,1,1,0,1,0,1,1,0,1,1,1,1
0.00013335,1,1,0,1,0,1,1,0,1,0,0,0
0.0001336,1,1,0,1,0,1,1,0,1,0,0,1
0.0001369,1,1,0,1,0,1,1,0,1,0,0,0
0.00013715,1,1,0,1,0,1,1,0,1,0,0,1
0.00014045,1,1,0,1,0,1,1,0,1,1,1,0
0.0001407,1,1,0,1,0,1,1,0,1,1,1,1
0.00014075,0,0,1,1,0,1,1,0,0,1,1,1
0.00014395,0,0,1,1,0,1,1,0,0,1,1,0
0.000144,0,0,1,1,0,1,1,0,0,0,0,0
0.00014425,0,0,1,1,0,1,1,0,0,0,0,1
0.0001475,0,0,1,1,0,1,1,0,0,0,0,0
0.00014775,0,0,1,1,0,1,1,0,0,0,0,1
0.0001478,0,1,1,1,0,1,1,0,0,1,1,1
0.00014785,0,1,1,0,0,1,1,0,1,1,1,1
0.00015105,0,1,1,0,0,1,1,0,1,1,1,0
0.0001511,0,1,1,0,0,1,1,0,1,0,1,0
0.0001513,0,1,1,0,0,1,1,0,1,0,1,1
0.0001546,0,1,1,0,0,1,1,0,1,0,1,0
